Label,Alabama!!Estimate,Alabama!!Margin of Error,Alaska!!Estimate,Alaska!!Margin of Error,Arizona!!Estimate,Arizona!!Margin of Error,Arkansas!!Estimate,Arkansas!!Margin of Error,California!!Estimate,California!!Margin of Error,Colorado!!Estimate,Colorado!!Margin of Error,Connecticut!!Estimate,Connecticut!!Margin of Error,Delaware!!Estimate,Delaware!!Margin of Error,District of Columbia!!Estimate,District of Columbia!!Margin of Error,Florida!!Estimate,Florida!!Margin of Error,Georgia!!Estimate,Georgia!!Margin of Error,Hawaii!!Estimate,Hawaii!!Margin of Error,Idaho!!Estimate,Idaho!!Margin of Error,Illinois!!Estimate,Illinois!!Margin of Error,Indiana!!Estimate,Indiana!!Margin of Error,Iowa!!Estimate,Iowa!!Margin of Error,Kansas!!Estimate,Kansas!!Margin of Error,Kentucky!!Estimate,Kentucky!!Margin of Error,Louisiana!!Estimate,Louisiana!!Margin of Error,Maine!!Estimate,Maine!!Margin of Error,Maryland!!Estimate,Maryland!!Margin of Error,Massachusetts!!Estimate,Massachusetts!!Margin of Error,Michigan!!Estimate,Michigan!!Margin of Error,Minnesota!!Estimate,Minnesota!!Margin of Error,Mississippi!!Estimate,Mississippi!!Margin of Error,Missouri!!Estimate,Missouri!!Margin of Error,Montana!!Estimate,Montana!!Margin of Error,Nebraska!!Estimate,Nebraska!!Margin of Error,Nevada!!Estimate,Nevada!!Margin of Error,New Hampshire!!Estimate,New Hampshire!!Margin of Error,New Jersey!!Estimate,New Jersey!!Margin of Error,New Mexico!!Estimate,New Mexico!!Margin of Error,New York!!Estimate,New York!!Margin of Error,North Carolina!!Estimate,North Carolina!!Margin of Error,North Dakota!!Estimate,North Dakota!!Margin of Error,Ohio!!Estimate,Ohio!!Margin of Error,Oklahoma!!Estimate,Oklahoma!!Margin of Error,Oregon!!Estimate,Oregon!!Margin of Error,Pennsylvania!!Estimate,Pennsylvania!!Margin of Error,Rhode Island!!Estimate,Rhode Island!!Margin of Error,South Carolina!!Estimate,South Carolina!!Margin of Error,South Dakota!!Estimate,South Dakota!!Margin of Error,Tennessee!!Estimate,Tennessee!!Margin of Error,Texas!!Estimate,Texas!!Margin of Error,Utah!!Estimate,Utah!!Margin of Error,Vermont!!Estimate,Vermont!!Margin of Error,Virginia!!Estimate,Virginia!!Margin of Error,Washington!!Estimate,Washington!!Margin of Error,West Virginia!!Estimate,West Virginia!!Margin of Error,Wisconsin!!Estimate,Wisconsin!!Margin of Error,Wyoming!!Estimate,Wyoming!!Margin of Error,Puerto Rico!!Estimate,Puerto Rico!!Margin of Error
Total:,"4,903,185",*****,"731,545",*****,"7,278,717",*****,"3,017,804",*****,"39,512,223",*****,"5,758,736",*****,"3,565,287",*****,"973,764",*****,"705,749",*****,"21,477,737",*****,"10,617,423",*****,"1,415,872",*****,"1,787,065",*****,"12,671,821",*****,"6,732,219",*****,"3,155,070",*****,"2,913,314",*****,"4,467,673",*****,"4,648,794",*****,"1,344,212",*****,"6,045,680",*****,"6,892,503",*****,"9,986,857",*****,"5,639,632",*****,"2,976,149",*****,"6,137,428",*****,"1,068,778",*****,"1,934,408",*****,"3,080,156",*****,"1,359,711",*****,"8,882,190",*****,"2,096,829",*****,"19,453,561",*****,"10,488,084",*****,"762,062",*****,"11,689,100",*****,"3,956,971",*****,"4,217,737",*****,"12,801,989",*****,"1,059,361",*****,"5,148,714",*****,"884,659",*****,"6,829,174",*****,"28,995,881",*****,"3,205,958",*****,"623,989",*****,"8,535,519",*****,"7,614,893",*****,"1,792,147",*****,"5,822,434",*****,"578,759",*****,"3,193,694",*****
    Population of one race:,"4,811,663","±6,916","674,069","±5,446","6,998,143","±12,629","2,934,201","±7,131","37,534,078","±33,931","5,525,793","±10,805","3,434,219","±8,941","943,597","±4,218","682,428","±3,488","20,846,185","±24,376","10,333,002","±14,589","1,099,404","±11,280","1,728,365","±4,924","12,319,888","±15,282","6,557,936","±10,311","3,086,822","±5,650","2,804,543","±6,310","4,363,515","±6,961","4,555,727","±7,819","1,315,676","±3,365","5,840,122","±11,032","6,642,044","±13,147","9,684,517","±11,635","5,453,049","±10,756","2,932,485","±6,308","5,965,175","±8,461","1,032,261","±3,637","1,881,025","±5,206","2,935,948","±8,665","1,329,506","±3,411","8,617,761","±14,190","2,024,385","±6,802","18,804,263","±19,354","10,192,947","±17,994","736,917","±3,813","11,345,759","±13,932","3,656,806","±9,446","4,010,412","±11,022","12,469,281","±14,431","1,014,761","±5,770","5,023,183","±9,493","859,961","±3,560","6,672,928","±8,001","28,159,954","±28,006","3,102,384","±8,741","608,622","±2,758","8,215,287","±13,942","7,161,398","±14,500","1,759,897","±2,917","5,685,400","±7,824","562,936","±3,004","2,966,604","±12,317"
        White,"3,326,375","±8,070","469,771","±4,147","5,701,810","±20,005","2,315,020","±8,944","23,484,958","±66,457","4,822,379","±16,194","2,660,228","±14,767","659,719","±5,370","300,058","±4,791","16,010,079","±29,969","6,131,699","±17,015","341,211","±4,361","1,596,918","±8,069","9,044,059","±29,217","5,571,899","±13,154","2,835,536","±5,371","2,436,902","±8,136","3,873,691","±5,598","2,874,784","±7,880","1,263,287","±2,108","3,296,909","±13,654","5,305,385","±21,121","7,812,165","±11,396","4,627,588","±9,059","1,726,970","±6,136","5,022,939","±7,560","940,423","±2,810","1,666,763","±6,142","1,989,116","±17,188","1,258,576","±3,767","5,964,295","±22,769","1,549,953","±14,976","12,293,680","±31,896","7,144,510","±17,909","653,910","±2,209","9,452,650","±11,008","2,865,785","±9,140","3,523,853","±15,385","10,193,792","±15,794","833,690","±8,299","3,434,467","±11,106","743,764","±1,684","5,272,910","±9,919","21,273,326","±44,895","2,799,527","±10,987","585,117",±951,"5,714,646","±13,060","5,651,091","±16,236","1,668,004","±3,236","4,963,354","±9,563","525,860","±2,716","2,054,764","±16,368"
        Black or African American,"1,319,551","±8,216","22,551","±1,965","343,729","±7,680","467,468","±6,259","2,282,144","±17,125","240,538","±6,815","396,745","±7,946","219,418","±3,974","320,704","±4,929","3,441,062","±26,501","3,390,968","±15,987","26,923","±2,003","12,708","±2,170","1,790,212","±12,139","643,105","±8,996","129,335","±4,761","167,237","±4,802","363,167","±7,961","1,504,017","±8,676","21,983","±2,723","1,830,059","±9,860","543,629","±9,985","1,371,069","±10,424","370,291","±8,173","1,130,608","±7,506","703,058","±8,638","7,787","±1,893","94,659","±3,635","296,184","±5,444","22,000","±1,840","1,203,843","±10,689","48,337","±3,861","3,084,304","±17,635","2,253,481","±14,903","22,256","±2,558","1,467,331","±13,248","287,414","±6,538","77,918","±5,485","1,454,753","±14,506","78,143","±6,572","1,362,917","±8,396","20,866","±2,182","1,141,304","±8,527","3,553,922","±23,163","36,918","±2,748","9,435","±1,109","1,659,908","±12,568","305,924","±7,176","65,925","±3,478","374,747","±5,775","7,116","±1,901","395,439","±11,148"
        American Indian and Alaska Native,"23,265","±3,739","115,544","±3,935","332,273","±8,619","17,216","±2,316","321,112","±15,788","57,578","±5,575","9,052","±1,762","4,353","±1,271","1,886",±430,"59,558","±5,844","42,316","±7,151","6,129","±2,327","22,867","±2,684","32,600","±4,084","18,416","±3,160","11,837","±1,622","23,860","±3,216","8,326","±2,248","28,561","±3,185","9,419","±1,352","19,164","±2,473","17,875","±2,162","57,785","±3,423","57,414","±3,255","14,634","±2,075","25,516","±3,599","67,603","±3,257","18,964","±2,059","42,426","±4,650","1,727",±653,"18,440","±4,501","199,341","±5,549","73,560","±6,588","126,708","±4,966","40,970","±2,364","23,544","±3,846","316,929","±6,536","50,417","±5,533","27,088","±3,858","3,341",±962,"18,971","±2,545","75,809","±2,831","20,431","±2,986","144,993","±8,858","35,368","±3,443","2,928",±839,"23,388","±3,009","103,882","±6,865","3,601","±1,396","54,577","±2,975","13,774","±1,592","3,082","±1,232"
        Asian,"66,129","±2,481","43,678","±2,428","241,721","±6,153","46,078","±3,621","5,865,435","±20,041","188,461","±5,845","166,393","±3,784","36,592","±1,970","28,722","±1,390","599,799","±8,235","439,416","±7,414","547,843","±11,078","25,969","±3,001","717,992","±5,911","170,566","±5,401","76,134","±3,135","87,018","±2,644","73,087","±3,588","81,506","±4,401","15,323","±1,510","386,194","±4,864","472,895","±5,636","327,230","±4,522","285,630","±4,528","31,154","±3,461","127,154","±4,281","8,927","±1,287","47,740","±2,173","261,159","±5,415","35,807","±2,393","856,561","±7,679","36,549","±2,668","1,680,219","±9,869","309,905","±7,205","10,669","±2,355","274,585","±5,709","89,950","±3,064","194,068","±4,722","453,662","±6,936","37,101","±2,675","86,571","±3,010","11,530","±2,434","125,742","±4,116","1,446,073","±11,439","76,470","±4,125","8,603","±2,541","565,643","±6,224","684,967","±8,569","14,311","±1,712","167,420","±4,534","4,633","±1,379","6,573","±2,492"
        Native Hawaiian and Other Pacific Islander,"1,892",±716,"9,923",±834,"14,168","±1,611","12,829","±1,801","155,871","±5,626","7,756","±2,016","1,155","±1,082",428,±499,190,±216,"16,162","±3,369","6,947","±2,674","152,601","±5,303","2,475","±1,160","4,511","±1,374","3,254","±1,946","2,029",±893,"2,453","±1,399","4,212","±1,780",971,±601,222,±183,"2,453","±1,009","2,998",±737,"2,078",±694,"2,753",±901,175,±259,"10,214","±2,839",224,±253,"1,850",±866,"22,587","±2,559",713,±526,"3,254","±1,475",924,±544,"8,277","±2,421","6,878","±2,124","2,792","±1,647","5,274","±2,003","4,808","±1,381","14,182","±2,342","4,148","±1,007",250,±212,"7,572","±5,449","2,073","±1,557","3,469","±1,316","27,026","±4,145","30,725","±2,972",386,±381,"5,039","±1,116","50,139","±3,973",399,±417,"4,220","±1,636",754,±498,183,±211
        Some other race,"74,451","±7,104","12,602","±3,697","364,442","±20,245","75,590","±8,418","5,424,558","±70,153","209,081","±14,420","200,646","±13,943","23,087","±5,203","30,868","±5,212","719,525","±25,981","321,656","±18,188","24,697","±4,770","67,428","±7,314","730,514","±26,606","150,696","±12,587","31,951","±4,884","87,073","±7,195","41,032","±5,314","65,888","±7,811","5,442","±1,374","305,343","±13,698","299,262","±18,468","114,190","±10,326","109,373","±9,416","28,944","±4,232","76,294","±8,075","7,297","±1,714","51,049","±5,631","324,476","±17,016","10,683","±3,559","571,368","±21,222","189,281","±15,165","1,664,223","±33,219","351,465","±16,572","6,320","±2,122","122,375","±10,175","91,920","±7,110","149,974","±14,981","335,838","±17,763","62,236","±8,445","112,685","±10,505","5,919","±1,275","109,072","±10,567","1,714,614","±45,756","123,376","±10,628","2,153",±818,"246,663","±13,682","365,395","±16,236","7,657","±1,944","121,082","±9,594","10,799","±2,278","506,563","±15,573"
    Population of two or more races:,"91,522","±6,916","57,476","±5,446","280,574","±12,629","83,603","±7,131","1,978,145","±33,931","232,943","±10,805","131,068","±8,941","30,167","±4,218","23,321","±3,488","631,552","±24,376","284,421","±14,589","316,468","±11,280","58,700","±4,924","351,933","±15,282","174,283","±10,311","68,248","±5,650","108,771","±6,310","104,158","±6,961","93,067","±7,819","28,536","±3,365","205,558","±11,032","250,459","±13,147","302,340","±11,635","186,583","±10,756","43,664","±6,308","172,253","±8,461","36,517","±3,637","53,383","±5,206","144,208","±8,665","30,205","±3,411","264,429","±14,190","72,444","±6,802","649,298","±19,354","295,137","±17,994","25,145","±3,813","343,341","±13,932","300,165","±9,446","207,325","±11,022","332,708","±14,431","44,600","±5,770","125,531","±9,493","24,698","±3,560","156,246","±8,001","835,927","±28,006","103,574","±8,741","15,367","±2,758","320,232","±13,942","453,495","±14,500","32,250","±2,917","137,034","±7,824","15,823","±3,004","227,090","±12,317"
        Two races including Some other race,"6,258","±1,880","2,591",±923,"52,367","±7,130","7,216","±2,619","421,998","±16,861","34,753","±4,177","25,662","±4,396","3,218","±1,362","2,545",±978,"97,525","±9,286","43,982","±6,542","8,324","±1,909","12,303","±3,855","60,983","±5,913","22,361","±3,790","6,459","±1,612","9,332","±1,876","10,858","±3,251","9,001","±2,420","1,849",±801,"20,330","±3,717","37,373","±4,530","22,839","±2,921","17,946","±3,717","2,589","±1,271","11,149","±2,257","2,337","±1,506","6,347","±1,518","22,822","±3,879","1,108",±648,"57,237","±7,186","20,393","±2,795","149,030","±10,108","31,893","±4,408","1,538",±710,"20,822","±3,117","12,189","±2,413","22,110","±4,347","45,304","±6,031","9,844","±2,706","13,135","±2,999",952,±876,"12,696","±2,864","166,747","±10,975","15,756","±4,173",164,±180,"32,907","±5,735","47,883","±4,949","1,853",±764,"16,592","±3,313","2,705","±1,336","14,265","±3,009"
