countyFIPS,County Name,State,population
0,Statewide Unallocated,KS,0
20001,Allen County,KS,12369
20003,Anderson County,KS,7858
20005,Atchison County,KS,16073
20007,Barber County,KS,4427
20009,Barton County,KS,25779
20011,Bourbon County,KS,14534
20013,Brown County,KS,9564
20015,Butler County,KS,66911
20017,Chase County,KS,2648
20019,Chautauqua County,KS,3250
20021,Cherokee County,KS,19939
20023,Cheyenne County,KS,2657
20025,Clark County,KS,1994
20027,Clay County,KS,8002
20029,Cloud County,KS,8786
20031,Coffey County,KS,8179
20033,Comanche County,KS,1700
20035,Cowley County,KS,34908
20037,Crawford County,KS,38818
20039,Decatur County,KS,2827
20041,Dickinson County,KS,18466
20043,Doniphan County,KS,7600
20045,Douglas County,KS,122259
20047,Edwards County,KS,2798
20049,Elk County,KS,2530
20051,Ellis County,KS,28553
20053,Ellsworth County,KS,6102
20055,Finney County,KS,36467
20057,Ford County,KS,33619
20059,Franklin County,KS,25544
20061,Geary County,KS,31670
20063,Gove County,KS,2636
20065,Graham County,KS,2482
20067,Grant County,KS,7150
20069,Gray County,KS,5988
20071,Greeley County,KS,1232
20073,Greenwood County,KS,5982
20075,Hamilton County,KS,2539
20077,Harper County,KS,5436
20079,Harvey County,KS,34429
20081,Haskell County,KS,3968
20083,Hodgeman County,KS,1794
20085,Jackson County,KS,13171
20087,Jefferson County,KS,19043
20089,Jewell County,KS,2879
20091,Johnson County,KS,602401
20093,Kearny County,KS,3838
20095,Kingman County,KS,7152
20097,Kiowa County,KS,2475
20099,Labette County,KS,19618
20101,Lane County,KS,1535
20103,Leavenworth County,KS,81758
20105,Lincoln County,KS,2962
20107,Linn County,KS,9703
20109,Logan County,KS,2794
20111,Lyon County,KS,33195
20113,McPherson County,KS,28542
20115,Marion County,KS,11884
20117,Marshall County,KS,9707
20119,Meade County,KS,4033
20121,Miami County,KS,34237
20123,Mitchell County,KS,5979
20125,Montgomery County,KS,31829
20127,Morris County,KS,5620
20129,Morton County,KS,2587
20131,Nemaha County,KS,10231
20133,Neosho County,KS,16007
20135,Ness County,KS,2750
20137,Norton County,KS,5361
20139,Osage County,KS,15949
20141,Osborne County,KS,3421
20143,Ottawa County,KS,5704
20145,Pawnee County,KS,6414
20147,Phillips County,KS,5234
20149,Pottawatomie County,KS,24383
20151,Pratt County,KS,9164
20153,Rawlins County,KS,2530
20155,Reno County,KS,61998
20157,Republic County,KS,4636
20159,Rice County,KS,9537
20161,Riley County,KS,74232
20163,Rooks County,KS,4920
20165,Rush County,KS,3036
20167,Russell County,KS,6856
20169,Saline County,KS,54224
20171,Scott County,KS,4823
20173,Sedgwick County,KS,516042
20175,Seward County,KS,21428
20177,Shawnee County,KS,176875
20179,Sheridan County,KS,2521
20181,Sherman County,KS,5917
20183,Smith County,KS,3583
20185,Stafford County,KS,4156
20187,Stanton County,KS,2006
20189,Stevens County,KS,5485
20191,Sumner County,KS,22836
20193,Thomas County,KS,7777
20195,Trego County,KS,2803
20197,Wabaunsee County,KS,6931
20199,Wallace County,KS,1518
20201,Washington County,KS,5406
20203,Wichita County,KS,2119
20205,Wilson County,KS,8525
20207,Woodson County,KS,3138
20209,Wyandotte County,KS,165429
