County Name,State,3/2/2021
Statewide Unallocated,KS,0
Allen County ,KS,16
Anderson County ,KS,18
Atchison County ,KS,13
Barber County ,KS,7
Barton County ,KS,48
Bourbon County ,KS,24
Brown County ,KS,36
Butler County ,KS,83
Chase County ,KS,3
Chautauqua County ,KS,6
Cherokee County ,KS,47
Cheyenne County ,KS,13
Clark County ,KS,7
Clay County ,KS,28
Cloud County ,KS,26
Coffey County ,KS,18
Comanche County ,KS,9
Cowley County ,KS,98
Crawford County ,KS,75
Decatur County ,KS,11
Dickinson County ,KS,39
Doniphan County ,KS,22
Douglas County ,KS,78
Edwards County ,KS,12
Elk County ,KS,5
Ellis County ,KS,72
Ellsworth County ,KS,24
Finney County ,KS,72
Ford County ,KS,67
Franklin County ,KS,37
Geary County ,KS,35
Gove County ,KS,22
Graham County ,KS,7
Grant County ,KS,17
Gray County ,KS,14
Greeley County ,KS,1
Greenwood County ,KS,13
Hamilton County ,KS,1
Harper County ,KS,20
Harvey County ,KS,61
Haskell County ,KS,9
Hodgeman County ,KS,7
Jackson County ,KS,15
Jefferson County ,KS,32
Jewell County ,KS,4
Johnson County ,KS,744
Kearny County ,KS,11
Kingman County ,KS,13
Kiowa County ,KS,5
Labette County ,KS,48
Lane County ,KS,7
Leavenworth County ,KS,77
Lincoln County ,KS,4
Linn County ,KS,8
Logan County ,KS,6
Lyon County ,KS,79
McPherson County ,KS,83
Marion County ,KS,24
Marshall County ,KS,23
Meade County ,KS,10
Miami County ,KS,41
Mitchell County ,KS,18
Montgomery County ,KS,69
Morris County ,KS,21
Morton County ,KS,9
Nemaha County ,KS,55
Neosho County ,KS,22
Ness County ,KS,15
Norton County ,KS,27
Osage County ,KS,20
Osborne County ,KS,11
Ottawa County ,KS,13
Pawnee County ,KS,14
Phillips County ,KS,23
Pottawatomie County ,KS,28
Pratt County ,KS,24
Rawlins County ,KS,8
Reno County ,KS,139
Republic County ,KS,14
Rice County ,KS,12
Riley County ,KS,38
Rooks County ,KS,12
Rush County ,KS,13
Russell County ,KS,27
Saline County ,KS,132
Scott County ,KS,22
Sedgwick County ,KS,695
Seward County ,KS,34
Shawnee County ,KS,340
Sheridan County ,KS,12
Sherman County ,KS,11
Smith County ,KS,2
Stafford County ,KS,9
Stanton County ,KS,7
Stevens County ,KS,9
Sumner County ,KS,49
Thomas County ,KS,17
Trego County ,KS,8
Wabaunsee County ,KS,17
Wallace County ,KS,4
Washington County ,KS,12
Wichita County ,KS,6
Wilson County ,KS,16
Woodson County ,KS,5
Wyandotte County ,KS,266
