State,Date,Cases_Asian,Cases_AIAN,Cases_Black,Cases_White,Cases_Other,Cases_NonHispanic,Cases_Hispanic,Cases_Unknown,Cases_Total,Deaths_AIAN,Deaths_Asian,Deaths_Black,Deaths_Hispanic,Deaths_NonHispanic,Deaths_Unknown,Deaths_Other,Deaths_White,Deaths_Total
KS,20210303,5492,2069,14291,209133,12144,181823,39072,74214,295109,37,63,236,308,3799,709,243,3724,4816
KS,20210228,5435,2059,14199,207907,12047,180592,38929,74142,293663,37,61,230,306,3737,692,239,3665,4735
KS,20210224,5412,2051,14150,207207,11983,179866,38820,74151,292837,37,60,230,304,3729,691,239,3656,4724
KS,20210221,5344,2037,14056,205615,11849,178256,38566,74010,290832,36,58,227,297,3643,674,234,3568,4614
KS,20210217,5281,2022,13968,203804,11735,176564,38359,73794,288717,36,57,222,290,3576,655,228,3500,4521
KS,20210214,5221,1999,13826,201605,11583,174410,38059,73633,286102,35,57,214,283,3450,631,224,3371,4364
KS,20210210,5197,1986,13777,200542,11503,173464,37932,73498,284894,34,54,212,281,3408,614,222,3325,4303
KS,20210207,5123,1964,13617,197834,11322,170887,37589,73086,281562,32,51,204,273,3244,584,213,3172,4101
KS,20210203,5064,1950,13488,195609,11213,169027,37306,72582,278915,31,48,195,261,3079,555,204,3005,3895
KS,20210131,4980,1909,13321,192322,10997,165917,36842,71926,274685,29,45,192,260,2987,532,205,2912,3779
KS,20210127,4929,1881,13204,190581,10878,164184,36600,71733,272517,28,41,188,258,2937,523,204,2868,3718
KS,20210124,4823,1832,12920,185965,10567,159937,36027,70689,266653,27,41,185,254,2850,494,199,2778,3598
KS,20210120,4768,1807,12737,183359,10413,157494,35651,70267,263412,27,40,184,252,2833,490,195,2764,3575
KS,20210117,4631,1740,12389,177980,10111,152690,35010,68434,256134,26,39,179,245,2778,479,195,2708,3502
KS,20210113,4553,1694,12224,174874,9958,150112,34531,67398,252041,25,39,172,239,2674,442,184,2601,3355
KS,20210110,4354,1623,11749,167483,14309,144142,33502,64678,242322,25,37,164,227,2500,421,226,2429,3148
KS,20210106,4227,1583,11524,163279,13976,140566,32988,63264,236818,24,37,157,220,2399,408,217,2327,3027
KS,20210103,4056,1510,11240,156465,13452,134989,32180,60576,227745,24,35,152,210,2288,381,203,2218,2879
KS,20201230,3931,1471,11033,152504,13173,131898,31664,58871,222433,21,34,149,205,2177,359,193,2110,2741
KS,20201227,3702,1406,10502,143017,12481,123712,30678,55299,209689,20,31,142,194,1995,318,173,1933,2507
KS,20201223,3702,1406,10502,143017,12481,123712,30678,55299,209689,20,31,142,194,1995,318,173,1933,2507
KS,20201220,3512,1359,10033,136217,11863,117646,29833,52947,200426,20,30,140,188,1867,286,160,1805,2341
KS,20201216,3418,1322,9803,132131,11399,113829,29238,51502,194569,20,29,139,182,1800,271,155,1733,2253
KS,20201213,3241,1276,9396,125898,10837,108165,28385,48744,185294,19,28,135,172,1662,238,138,1596,2072
KS,20201209,3142,1238,9171,122209,10466,104909,27822,47072,179803,19,28,134,168,1554,219,135,1479,1941
KS,20201206,2919,1169,8690,114362,9753,98015,26611,43669,168295,16,26,126,165,1417,204,124,1359,1786
KS,20201202,2803,1117,8438,110023,9355,93925,25968,42168,162061,16,25,119,158,1325,196,114,1271,1679
KS,20201129,2679,1071,8073,103675,8768,87929,25045,40047,153021,15,25,118,148,1201,180,104,1146,1529
KS,20201125,2603,1040,7823,100110,8509,84785,24557,38455,147797,15,25,118,147,1177,179,104,1121,1503
KS,20201122,2430,979,7317,91142,7923,76909,23164,34460,134533,15,25,115,144,1093,173,97,1043,1410
KS,20201118,2341,938,7088,86969,7550,73202,22545,32847,128594,15,23,113,137,1027,162,93,977,1326
KS,20201115,2192,847,6585,78319,6708,65434,21227,28846,115507,14,20,112,130,971,155,90,920,1256
KS,20201111,2105,817,6348,74167,6361,61625,20649,26951,109225,14,20,111,129,940,146,88,891,1215
KS,20201108,1967,740,5843,66515,5666,54685,19545,23403,97633,14,20,107,126,900,140,83,852,1166
KS,20201104,1887,685,5579,62759,5386,51319,18951,21945,92215,13,20,105,125,832,130,73,791,1087
KS,20201101,1800,623,5317,57987,4974,46989,18225,19967,85181,12,19,104,120,787,122,69,745,1029
KS,20201028,1763,593,5178,55775,4775,45116,17872,19057,82045,12,18,103,119,768,120,68,726,1007
KS,20201025,1677,562,4954,51672,4490,41649,17106,17475,76230,11,18,101,118,745,112,67,703,975
KS,20201021,1662,553,4883,50401,4392,40503,16839,17114,74456,11,18,100,115,726,111,65,685,952
KS,20201018,1627,536,4699,47824,4162,38237,16358,16260,70855,11,17,95,108,664,87,60,620,859
KS,20201014,1604,531,4604,46625,4064,37151,16093,15911,69155,10,17,93,107,646,85,60,604,838
KS,20201011,1568,517,4446,44123,3867,35118,15661,15028,65807,9,16,90,100,588,75,50,550,763
KS,20201007,1550,504,4349,42970,3741,33964,15449,14539,63952,9,15,88,95,559,69,45,519,723
KS,20201004,1521,483,4219,40960,3577,32169,15017,13925,61111,7,15,87,95,542,61,45,503,698
KS,20200930,1501,474,4151,40007,3479,31343,14832,13574,59749,7,15,87,93,524,61,44,484,678
KS,20200927,1444,421,4013,37759,3294,29386,14308,12898,56592,7,13,85,92,488,52,42,450,632
KS,20200923,1426,413,3944,36785,3195,28555,14101,12570,55226,7,13,85,91,480,50,41,442,621
KS,20200920,1379,389,3765,34611,3006,26663,13599,12023,52285,6,13,84,89,461,46,38,425,596
KS,20200916,1354,383,3671,33504,2913,25707,13333,11830,50870,6,13,83,89,451,46,38,416,586
KS,20200913,1311,361,3542,31776,2781,24191,12966,11229,48386,4,13,79,71,406,34,29,362,511
KS,20200909,1295,357,3497,31093,2703,23551,12797,11062,47410,4,13,78,70,393,32,28,350,495
KS,20200906,1268,328,3376,29589,2558,22203,12512,10505,45220,4,13,75,69,381,31,26,342,481
KS,20200902,1244,315,3288,28700,2448,21419,12322,10199,43940,4,12,71,69,361,28,24,328,458
KS,20200830,1206,290,3129,26895,2293,19712,11924,9412,41048,4,11,70,67,350,26,22,318,443
KS,20200826,1181,288,3055,26112,2229,19031,11751,9155,39937,4,11,70,66,346,25,22,313,437
KS,20200823,1122,265,2827,24209,2047,17347,11249,8260,36856,3,11,69,62,335,22,18,303,419
KS,20200819,1108,258,2730,23529,1985,16816,11047,8027,35890,3,11,69,62,328,21,18,296,411
KS,20200816,1072,236,2539,22264,1866,15683,10640,7562,33885,3,10,68,60,321,21,18,289,402
KS,20200812,1056,213,2414,21389,1828,15003,10378,7166,32547,3,9,68,60,315,20,18,284,395
KS,20200809,1023,203,2280,20142,1705,14038,9976,6624,30638,3,9,67,59,304,17,18,272,380
KS,20200805,999,200,2205,19537,1615,13570,9710,6437,29717,3,9,66,58,294,16,17,263,368
KS,20200802,976,184,2059,18240,1511,12586,9223,6003,27812,3,9,65,56,286,16,15,256,358
KS,20200729,954,179,2003,17571,1454,12134,8933,5803,26870,3,9,63,54,280,15,14,250,349
KS,20200726,913,170,1844,16357,1325,11167,8389,5553,25109,3,9,63,43,269,14,9,233,326
KS,20200722,888,166,1780,15587,1282,10582,8094,5428,24104,2,9,64,40,255,13,9,216,308
KS,20200719,856,149,1644,14176,1088,9492,7620,4853,21965,2,9,64,37,249,13,9,207,299
KS,20200715,837,143,1585,13490,1017,9010,7351,4572,20933,2,9,64,37,249,13,9,207,299
KS,20200712,817,122,1474,11964,846,7913,6892,3806,18611,2,9,61,36,238,10,8,198,284
KS,20200708,797,114,1415,11220,791,7339,6679,3600,17618,2,9,61,36,237,9,8,198,282
KS,20200705,779,111,1341,10177,633,6528,6365,3026,15919,2,9,61,33,235,9,6,195,277
KS,20200701,770,106,1283,9596,573,6112,6151,2727,14990,2,9,61,33,230,9,5,191,272
KS,20200628,751,99,1223,8686,470,5510,5784,2244,13538,2,9,61,32,223,9,3,185,264
KS,20200624,742,89,1195,8284,435,5244,5575,2151,12970,2,9,60,32,219,10,3,182,261
KS,20200621,727,83,1136,7720,386,4896,5271,1892,12059,2,9,60,31,215,8,3,176,254
KS,20200617,716,78,1113,7472,366,4730,5134,1817,11681,2,8,60,31,210,6,3,172,247
KS,20200614,685,73,1081,7016,335,4469,4843,1735,11047,2,7,60,30,201,12,2,165,243
KS,20200610,679,72,1056,6839,308,4331,4726,1755,10812,2,7,60,29,199,12,2,162,240
KS,20200607,653,65,1024,6445,290,4124,4503,1766,10393,1,5,60,28,193,11,2,158,232
KS,20200603,639,63,995,6291,275,4007,4393,1770,10170,1,5,61,24,188,10,1,148,222
KS,20200531,601,51,959,6000,250,3832,4183,1704,9719,1,4,59,21,178,9,1,138,208
KS,20200527,582,51,937,5717,230,3718,3972,1647,9337,1,4,59,21,177,7,1,136,205
KS,20200524,562,37,911,5425,212,3551,3769,1638,8958,1,3,56,15,158,12,1,117,185
KS,20200520,531,29,890,5108,198,3397,3496,1646,8539,1,1,56,14,154,10,1,115,178
KS,20200517,449,25,822,4686,184,3118,3146,1622,7886,1,1,53,13,143,16,2,105,172
KS,20200513,411,23,781,4333,170,2949,2846,1673,7468,1,,50,10,137,17,1,102,164
KS,20200510,394,23,723,3975,164,2768,2574,1642,6984,1,9,47,10,132,15,1,99,157
KS,20200506,275,18,613,3382,150,2378,2044,1312,5734,1,0,46,8,124,12,0,92,144
KS,20200503,224,17,535,2984,138,2115,1803,1112,5030,1,0,41,5,113,16,0,84,134
KS,20200429,114,14,433,2325,101,1731,1318,689,3738,1,0,39,4,105,16,0,76,125
KS,20200426,78,12,386,1986,91,1555,1038,581,3174,1,0,35,3,97,18,0,71,118
KS,20200422,37,11,343,1366,50,1307,494,410,2211,1,0,35,3,92,15,0,65,110
KS,20200419,27,9,314,1141,42,1154,334,361,1849,1,0,27,2,74,16,0,53,92
