Jurisdiction,Week of Allocations,1st Dose Allocations,2nd Dose Allocations
Alabama,3/1/2021,54990,54990
Alaska,3/1/2021,53820,53820
American Samoa,3/1/2021,9360,0
Arizona,3/1/2021,78390,78390
Arkansas,3/1/2021,33930,33930
California,3/1/2021,438750,438750
Chicago,3/1/2021,31590,31590
Colorado,3/1/2021,63180,63180
Connecticut,3/1/2021,42120,42120
Delaware,3/1/2021,11700,11700
District of Columbia,3/1/2021,9360,9360
Federal Entities,3/1/2021,209430,190710
Florida,3/1/2021,239850,239850
Georgia,3/1/2021,114660,114660
Guam,3/1/2021,21060,0
Hawaii,3/1/2021,16380,16380
Idaho,3/1/2021,18720,18720
Illinois,3/1/2021,114660,114660
Indiana,3/1/2021,74880,74880
Iowa,3/1/2021,35100,35100
Kansas,3/1/2021,32760,32760
Kentucky,3/1/2021,50310,50310
Louisiana,3/1/2021,52650,52650
Maine,3/1/2021,16380,16380
Mariana Islands,3/1/2021,9360,0
Marshall Islands,3/1/2021,0,0
Maryland,3/1/2021,69030,69030
Massachusetts,3/1/2021,79560,79560
Michigan,3/1/2021,113490,113490
Micronesia,3/1/2021,0,0
Minnesota,3/1/2021,62010,62010
Mississippi,3/1/2021,33930,33930
Missouri,3/1/2021,69030,69030
Montana,3/1/2021,12870,12870
Nebraska,3/1/2021,22230,22230
Nevada,3/1/2021,33930,33930
New Hampshire,3/1/2021,16380,16380
New Jersey,3/1/2021,101790,101790
New Mexico,3/1/2021,24570,24570
New York,3/1/2021,128700,128700
New York City,3/1/2021,98280,98280
North Carolina,3/1/2021,115830,115830
North Dakota,3/1/2021,9360,9360
Ohio,3/1/2021,132210,132210
Oklahoma,3/1/2021,43290,43290
Oregon,3/1/2021,47970,47970
Palau,3/1/2021,0,0
Pennsylvania,3/1/2021,129870,129870
Philadelphia,3/1/2021,18720,18720
Puerto Rico,3/1/2021,39780,39780
Rhode Island,3/1/2021,12870,12870
South Carolina,3/1/2021,57330,57330
South Dakota,3/1/2021,10530,10530
Tennessee,3/1/2021,76050,76050
Texas,3/1/2021,300690,300690
U.S. Virgin Islands,3/1/2021,2340,2340
Utah,3/1/2021,31590,31590
Vermont,3/1/2021,8190,8190
Virginia,3/1/2021,95940,95940
Washington,3/1/2021,84240,84240
West Virginia,3/1/2021,22230,22230
Wisconsin,3/1/2021,66690,66690
Wyoming,3/1/2021,7020,7020
Alabama,2/22/2021,47970,47970
Alaska,2/22/2021,0,0
American Samoa,2/22/2021,0,0
Arizona,2/22/2021,69030,69030
