date,state,death,deathConfirmed,deathIncrease,deathProbable,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease,inIcuCumulative,inIcuCurrently,negative,negativeIncrease,negativeTestsAntibody,negativeTestsPeopleAntibody,negativeTestsViral,onVentilatorCumulative,onVentilatorCurrently,positive,positiveCasesViral,positiveIncrease,positiveScore,positiveTestsAntibody,positiveTestsAntigen,positiveTestsPeopleAntibody,positiveTestsPeopleAntigen,positiveTestsViral,recovered,totalTestEncountersViral,totalTestEncountersViralIncrease,totalTestResults,totalTestResultsIncrease,totalTestsAntibody,totalTestsAntigen,totalTestsPeopleAntibody,totalTestsPeopleAntigen,totalTestsPeopleViral,totalTestsPeopleViralIncrease,totalTestsViral,totalTestsViralIncrease
2/25/2021,NE,2063,,9,,6082,6082,160,23,,,760841,1126,,,2112522,,,200106,,324,0,,,,,232314,153753,,0,2347453,12000,,,,,961464,1450,2347453,12000
2/24/2021,NE,2054,,4,,6059,6059,178,11,,,759715,1448,,,2101080,,,199782,,380,0,,,,,231778,153585,,0,2335453,12443,,,,,960014,1834,2335453,12443
2/23/2021,NE,2050,,3,,6048,6048,166,17,,,758267,933,,,2089213,,,199402,,357,0,,,,,231219,142336,,0,2323010,6612,,,,,958180,1288,2323010,6612
2/22/2021,NE,2047,,0,,6031,6031,161,-3,,,757334,342,,,2082984,,,199045,,96,0,,,,,230838,142336,,0,2316398,2001,,,,,956892,440,2316398,2001
2/21/2021,NE,2047,,0,,6034,6034,163,2,,,756992,688,,,2081186,,,198949,,198,0,,,,,230666,142336,,0,2314397,5164,,,,,956452,886,2314397,5164
2/20/2021,NE,2047,,4,,6032,6032,170,23,,,756304,964,,,2076255,,,198751,,309,0,,,,,230417,142336,,0,2309233,7975,,,,,955566,1274,2309233,7975
2/19/2021,NE,2043,,18,,6009,6009,185,12,,,755340,1171,,,2068787,,,198442,,400,0,,,,,229934,142336,,0,2301258,10947,,,,,954292,1570,2301258,10947
2/18/2021,NE,2025,,7,,5997,5997,188,16,,,754169,962,,,2058349,,,198042,,296,0,,,,,229423,142336,,0,2290311,10386,,,,,952722,1259,2290311,10386
2/17/2021,NE,2018,,14,,5981,5981,185,17,,,753207,1520,,,2048349,,,197746,,299,0,,,,,229051,142335,,0,2279925,22132,,,,,951463,1824,2279925,22132
2/16/2021,NE,2004,,1,,5964,5964,177,2,,,751687,332,,,2027634,,,197447,,119,0,,,,,228110,142335,,0,2257793,3235,,,,,949639,452,2257793,3235
2/15/2021,NE,2003,,1,,5962,5962,195,12,,,751355,304,,,2024401,,,197328,,92,0,,,,,227945,142335,,0,2254558,1639,,,,,949187,396,2254558,1639
2/14/2021,NE,2002,,0,,5950,5950,197,8,,,751051,781,,,2023233,,,197236,,209,0,,,,,227838,142312,,0,2252919,5671,,,,,948791,992,2252919,5671
2/13/2021,NE,2002,,0,,5942,5942,201,6,,,750270,2051,,,2018183,,,197027,,1542,0,,,,,227596,142112,,0,2247248,15802,,,,,947799,3610,2247248,15802
2/12/2021,NE,2002,,12,,5936,5936,216,5,,,748219,1722,,,2003421,,,195485,,479,0,,,,,226095,141783,,0,2231446,16875,,,,,944189,2201,2231446,16875
2/11/2021,NE,1990,,4,,5931,5931,230,3,,,746497,1573,,,1986778,,,195006,,374,0,,,,,225461,141236,,0,2214571,9443,,,,,941988,1945,2214571,9443
2/10/2021,NE,1986,,8,,5928,5928,240,11,,,744924,1392,,,1977788,,,194632,,462,0,,,,,225021,141239,,0,2205128,15069,,,,,940043,1853,2205128,15069
2/9/2021,NE,1978,,10,,5917,5917,257,16,,,743532,757,,,1963281,,,194170,,344,0,,,,,224467,141108,,0,2190059,6394,,,,,938190,1104,2190059,6394
2/8/2021,NE,1968,,0,,5901,5901,250,5,,,742775,366,,,1957270,,,193826,,104,0,,,,,224093,140902,,0,2183665,2157,,,,,937086,471,2183665,2157
2/7/2021,NE,1968,,0,,5896,5896,272,9,,,742409,1057,,,1955313,,,193722,,301,0,,,,,223900,140408,,0,2181508,10003,,,,,936615,1358,2181508,10003
2/6/2021,NE,1968,,10,,5887,5887,275,14,,,741352,1362,,,1945734,,,193421,,352,0,,,,,223487,139885,,0,2171505,12534,,,,,935257,1715,2171505,12534
2/5/2021,NE,1958,,6,,5873,5873,285,11,,,739990,1919,,,1933683,,,193069,,520,0,,,,,223003,139287,,0,2158971,12700,,,,,933542,2441,2158971,12700
2/4/2021,NE,1952,,21,,5862,5862,278,18,,,738071,1563,,,1921652,,,192549,,507,0,,,,,222359,138647,,0,2146271,13347,,,,,931101,2069,2146271,13347
2/3/2021,NE,1931,,2,,5844,5844,305,12,,,736508,2229,,,1908965,,,192042,,605,0,,,,,221689,137684,,0,2132924,22776,,,,,929032,2834,2132924,22776
2/2/2021,NE,1929,,9,,5832,5832,305,17,,,734279,931,,,1887002,,,191437,,487,0,,,,,220917,137446,,0,2110148,7171,,,,,926198,1418,2110148,7171
2/1/2021,NE,1920,,0,,5815,5815,312,11,,,733348,629,,,1880481,,,190950,,237,0,,,,,220260,136972,,0,2102977,2854,,,,,924780,866,2102977,2854
1/31/2021,NE,1920,,0,,5804,5804,320,8,,,732719,338,,,1877955,,,190713,,143,0,,,,,219936,136686,,0,2100123,9161,,,,,923914,481,2100123,9161
1/30/2021,NE,1920,,-1,,5796,5796,325,21,,,732381,3070,,,1873158,,,190570,,973,0,,,,,219706,135957,,0,2090962,15600,,,,,923433,4048,2090962,15600
1/29/2021,NE,1921,,4,,5775,5775,341,19,,,729311,1785,,,1854627,,,189597,,813,0,,,,,218517,134492,,0,2075362,11128,,,,,919385,2598,2075362,11128
1/28/2021,NE,1917,,12,,5756,5756,343,27,,,727526,1217,,,1844539,,,188784,,662,0,,,,,217494,133469,,0,2064234,11527,,,,,916787,1878,2064234,11527
1/27/2021,NE,1905,,11,,5729,5729,360,27,,,726309,2151,,,1833733,,,188122,,329,0,,,,,216775,133206,,0,2052707,11920,,,,,914909,2481,2052707,11920
1/26/2021,NE,1894,,15,,5702,5702,373,20,,,724158,4158,,,1822202,,,187793,,646,0,,,,,216396,132495,,0,2040787,14759,,,,,912428,4800,2040787,14759
1/25/2021,NE,1879,,0,,5682,5682,392,4,,,720000,1066,,,1808706,,,187147,,293,0,,,,,215632,132453,,0,2026028,4612,,,,,907628,1360,2026028,4612
1/24/2021,NE,1879,,1,,5678,5678,390,8,,,718934,7181,,,1803954,,,186854,,599,0,,,,,215275,131828,,0,2021416,22978,,,,,906268,7785,2021416,22978
1/23/2021,NE,1878,,10,,5670,5670,414,23,,,711753,1608,,,1784925,,,186255,,909,0,,,,,214492,131242,,0,1998438,9534,,,,,898483,2514,1998438,9534
1/22/2021,NE,1868,,6,,5647,5647,421,15,,,710145,1865,,,1763365,,,185346,,864,0,,,,,213854,130527,,0,1988904,22737,,,,,895969,2733,1988904,22737
1/21/2021,NE,1862,,12,,5632,5632,433,42,,,708280,4167,,,1761252,,,184482,,1164,0,,,,,212272,129608,,0,1966167,22156,,,,,893236,6472,1966167,22156
1/20/2021,NE,1850,,8,,5590,5590,438,0,,,704113,0,,,1732116,,,183318,,900,0,,,,,209752,127221,,0,1944011,0,,,,,886764,0,1944011,0
1/19/2021,NE,1842,,5,,5590,5590,429,15,,,704113,335,,,1732116,,,182418,,440,0,,,,,209752,127221,,0,1944011,2267,,,,,886764,536,1944011,2267
1/18/2021,NE,1837,,0,,5575,5575,429,10,,,703778,1816,,,1729927,,,181978,,1068,0,,,,,209674,126504,,0,1941744,33052,,,,,886228,2884,1941744,33052
1/17/2021,NE,1837,,0,,5565,5565,457,0,,,701962,0,,,1699670,,,180910,,0,0,,,,,206887,124963,,0,1908692,0,,,,,883344,0,1908692,0
1/16/2021,NE,1837,,19,,5565,5565,457,26,,,701962,1455,,,1699670,,,180910,,779,0,,,,,206887,124963,,0,1908692,14078,,,,,883344,2266,1908692,14078
1/15/2021,NE,1818,,15,,5539,5539,465,19,,,700507,899,,,1686804,,,180131,,932,0,,,,,205736,124233,,0,1894614,7460,,,,,881078,1836,1894614,7460
1/14/2021,NE,1803,,12,,5520,5520,449,23,,,699608,3169,,,1680017,,,179199,,1529,0,,,,,205069,123234,,0,1887154,12447,,,,,879242,4699,1887154,12447
1/13/2021,NE,1791,,19,,5497,5497,457,22,,,696439,1271,,,1668291,,,177670,,1000,0,,,,,204358,120700,,0,1874707,13341,,,,,874543,2273,1874707,13341
1/12/2021,NE,1772,,12,,5475,5475,484,15,,,695168,727,,,1656163,,,176670,,644,0,,,,,203155,122564,,0,1861366,9315,,,,,872270,1369,1861366,9315
1/11/2021,NE,1760,,23,,5460,5460,475,16,,,694441,928,,,1647683,,,176026,,406,0,,,,,202327,121710,,0,1852051,3962,,,,,870901,1337,1852051,3962
1/10/2021,NE,1737,,4,,5444,5444,471,10,,,693513,1809,,,1644150,,,175620,,1006,0,,,,,201900,120729,,0,1848089,10418,,,,,869564,2816,1848089,10418
