date,state,death,deathConfirmed,deathIncrease,deathProbable,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease,inIcuCumulative,inIcuCurrently,negative,negativeIncrease,negativeTestsAntibody,negativeTestsPeopleAntibody,negativeTestsViral,onVentilatorCumulative,onVentilatorCurrently,positive,positiveCasesViral,positiveIncrease,positiveScore,positiveTestsAntibody,positiveTestsAntigen,positiveTestsPeopleAntibody,positiveTestsPeopleAntigen,positiveTestsViral,recovered,totalTestEncountersViral,totalTestEncountersViralIncrease,totalTestResults,totalTestResultsIncrease,totalTestsAntibody,totalTestsAntigen,totalTestsPeopleAntibody,totalTestsPeopleAntigen,totalTestsPeopleViral,totalTestsPeopleViralIncrease,totalTestsViral,totalTestsViralIncrease
2/25/2021,MP,2,2,0,,4,4,,0,,,17429,0,,,,,,143,143,0,0,,,,,,29,,0,17572,0,,,,,17542,0,26131,0
2/24/2021,MP,2,2,0,,4,4,,0,,,17429,0,,,,,,143,143,0,0,,,,,,29,,0,17572,0,,,,,17542,0,26131,0
2/23/2021,MP,2,2,0,,4,4,,0,,,17429,0,,,,,,143,143,0,0,,,,,,29,,0,17572,0,,,,,17542,0,26131,0
2/22/2021,MP,2,2,0,,4,4,,0,,,17429,0,,,,,,143,143,0,0,,,,,,29,,0,17572,0,,,,,17542,0,26131,0
2/21/2021,MP,2,2,0,,4,4,,0,,,17429,0,,,,,,143,143,8,0,,,,,,29,,0,17572,8,,,,,17542,0,26131,0
2/20/2021,MP,2,2,0,,4,4,,0,,,17429,0,,,,,,135,135,0,0,,,,,,29,,0,17564,0,,,,,17542,0,26131,0
2/19/2021,MP,2,2,0,,4,4,,0,,,17429,0,,,,,,135,135,0,0,,,,,,29,,0,17564,0,,,,,17542,0,26131,0
2/18/2021,MP,2,2,0,,4,4,,0,,,17429,0,,,,,,135,135,0,0,,,,,,29,,0,17564,0,,,,,17542,0,26131,0
2/17/2021,MP,2,2,0,,4,4,,0,,,17429,0,,,,,,135,135,1,0,,,,,,29,,0,17564,1,,,,,17542,0,26131,0
2/16/2021,MP,2,2,0,,4,4,,0,,,17429,0,,,,,,134,134,0,0,,,,,,29,,0,17563,0,,,,,17542,0,26131,0
2/15/2021,MP,2,2,0,,4,4,,0,,,17429,0,,,,,,134,134,0,0,,,,,,29,,0,17563,0,,,,,17542,0,26131,0
2/14/2021,MP,2,2,0,,4,4,,0,,,17429,0,,,,,,134,134,0,0,,,,,,29,,0,17563,0,,,,,17542,0,26131,0
2/13/2021,MP,2,2,0,,4,4,,0,,,17429,0,,,,,,134,134,0,0,,,,,,29,,0,17563,0,,,,,17542,0,26131,0
2/12/2021,MP,2,2,0,,4,4,,0,,,17429,0,,,,,,134,134,1,0,,,,,,29,,0,17563,1,,,,,17542,0,26131,0
2/11/2021,MP,2,2,0,,4,4,,0,,,17429,0,,,,,,133,133,0,0,,,,,,29,,0,17562,0,,,,,17542,0,26131,0
2/10/2021,MP,2,2,0,,4,4,,0,,,17429,0,,,,,,133,133,0,0,,,,,,29,,0,17562,0,,,,,17542,0,26131,0
2/9/2021,MP,2,2,0,,4,4,,0,,,17429,0,,,,,,133,133,0,0,,,,,,29,,0,17562,0,,,,,17542,0,26131,0
2/8/2021,MP,2,2,0,,4,4,,0,,,17429,0,,,,,,133,133,0,0,,,,,,29,,0,17562,0,,,,,17542,0,26131,0
2/7/2021,MP,2,2,0,,4,4,,0,,,17429,0,,,,,,133,133,0,0,,,,,,29,,0,17562,0,,,,,17542,0,26131,0
2/6/2021,MP,2,2,0,,4,4,,0,,,17429,0,,,,,,133,133,0,0,,,,,,29,,0,17562,0,,,,,17542,0,26131,0
2/5/2021,MP,2,2,0,,4,4,,0,,,17429,0,,,,,,133,133,0,0,,,,,,29,,0,17562,0,,,,,17542,0,26131,0
2/4/2021,MP,2,2,0,,4,4,,0,,,17429,0,,,,,,133,133,0,0,,,,,,29,,0,17562,0,,,,,17542,0,26131,0
2/3/2021,MP,2,2,0,,4,4,,0,,,17429,0,,,,,,133,133,0,0,,,,,,29,,0,17562,0,,,,,17542,0,26131,0
2/2/2021,MP,2,2,0,,4,4,,0,,,17429,0,,,,,,133,133,1,0,,,,,,29,,0,17562,1,,,,,17542,0,26131,0
2/1/2021,MP,2,2,0,,4,4,,0,,,17429,0,,,,,,132,132,0,0,,,,,,29,,0,17561,0,,,,,17542,0,26131,0
1/31/2021,MP,2,2,0,,4,4,,0,,,17429,0,,,,,,132,132,0,0,,,,,,29,,0,17561,0,,,,,17542,0,26131,0
1/30/2021,MP,2,2,0,,4,4,,0,,,17429,0,,,,,,132,132,0,0,,,,,,29,,0,17561,0,,,,,17542,0,26131,0
