date,state,death,deathConfirmed,deathIncrease,deathProbable,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease,inIcuCumulative,inIcuCurrently,negative,negativeIncrease,negativeTestsAntibody,negativeTestsPeopleAntibody,negativeTestsViral,onVentilatorCumulative,onVentilatorCurrently,positive,positiveCasesViral,positiveIncrease,positiveScore,positiveTestsAntibody,positiveTestsAntigen,positiveTestsPeopleAntibody,positiveTestsPeopleAntigen,positiveTestsViral,recovered,totalTestEncountersViral,totalTestEncountersViralIncrease,totalTestResults,totalTestResultsIncrease,totalTestsAntibody,totalTestsAntigen,totalTestsPeopleAntibody,totalTestsPeopleAntigen,totalTestsPeopleViral,totalTestsPeopleViralIncrease,totalTestsViral,totalTestsViralIncrease
2/25/2021,VI,25,25,0,,,,,0,,,44650,284,,,,,,2623,,10,0,,,,,,2497,,0,47273,294,,,,,47375,279,,0
2/24/2021,VI,25,25,0,,,,,0,,,44366,469,,,,,,2613,,24,0,,,,,,2487,,0,46979,493,,,,,47096,493,,0
2/23/2021,VI,25,25,0,,,,,0,,,43897,204,,,,,,2589,,10,0,,,,,,2483,,0,46486,214,,,,,46603,223,,0
2/22/2021,VI,25,25,0,,,,,0,,,43693,129,,,,,,2579,,4,0,,,,,,2465,,0,46272,133,,,,,46380,133,,0
2/21/2021,VI,25,25,0,,,,,0,,,43564,0,,,,,,2575,,0,0,,,,,,2464,,0,46139,0,,,,,46247,0,,0
2/20/2021,VI,25,25,0,,,,,0,,,43564,205,,,,,,2575,,10,0,,,,,,2464,,0,46139,215,,,,,46247,215,,0
2/19/2021,VI,25,25,0,,,,,0,,,43359,469,,,,,,2565,,7,0,,,,,,2454,,0,45924,476,,,,,46032,469,,0
2/18/2021,VI,25,25,0,,,,,0,,,42890,166,,,,,,2558,,13,0,,,,,,2448,,0,45448,179,,,,,45563,173,,0
2/17/2021,VI,25,25,0,,,,,0,,,42724,134,,,,,,2545,,3,0,,,,,,2441,,0,45269,137,,,,,45390,157,,0
2/16/2021,VI,25,25,0,,,,,0,,,42590,0,,,,,,2542,,0,0,,,,,,2412,,0,45132,0,,,,,45233,0,,0
